"percentage_suspended","source","years_since_death","Volume loss (%)"
10,"plot.census",18.5,87.5
0,"plot.census",23.5,87.5
100,"plot.census",13.5,87.5
90,"plot.census",8.5,50
100,"plot.census",13.5,87.5
20,"plot.census",8.5,50
40,"plot.census",8.5,87.5
90,"plot.census",8.5,87.5
80,"dendro",7,30
90,"dendro",2,50
10,"dendro",4,50
0,"dendro",5,87.5
90,"dendro",2,50
40,"dendro",4,30
0,"dendro",5,50
0,"plot.census",8.5,87.5
90,"dendro",2,30
0,"plot.census",8.5,70
0,"plot.census",8.5,87.5
40,"dendro",3,50
50,"dendro",3,30
0,"dendro",8,87.5
0,"dendro",8,87.5
0,"dendro",8,87.5
0,"dendro",8,87.5
0,"dendro",8,87.5
0,"dendro",8,87.5
0,"dendro",8,87.5
0,"dendro",8,87.5
0,"plot.census",8,87.5
0,"plot.census",8,87.5
0,"plot.census",8,87.5
0,"plot.census",8,87.5
0,"plot.census",8,87.5
0,"plot.census",8,87.5
0,"plot.census",8,87.5
0,"plot.census",8,87.5
0,"dendro",8.5,87.5
0,"dendro",8.5,87.5
0,"dendro",8.5,87.5
0,"dendro",8.5,87.5
0,"dendro",8.5,87.5
0,"dendro",8.5,87.5
0,"dendro",8.5,87.5
0,"dendro",8.5,87.5
0,"plot.census",8.5,87.5
0,"plot.census",8.5,87.5
0,"plot.census",8.5,87.5
0,"plot.census",8.5,87.5
0,"plot.census",8.5,87.5
0,"plot.census",8.5,87.5
0,"plot.census",8.5,87.5
0,"plot.census",8.5,87.5
0,"dendro",6,87.5
60,"dendro",2,30
10,"dendro",6,50
100,"dendro",2,30
70,"plot.census",13.5,87.5
70,"plot.census",18.5,87.5
30,"plot.census",8.5,87.5
0,"plot.census",8.5,70
80,"plot.census",13.5,87.5
0,"plot.census",8.5,50
10,"plot.census",8.5,70
60,"dendro",2,30
70,"plot.census",18.5,30
0,"plot.census",8.5,70
30,"plot.census",8.5,50
0,"dendro",5,50
80,"plot.census",8.5,50
20,"dendro",4,50
80,"dendro",2,30
10,"dendro",3,50
100,"plot.census",8.5,87.5
20,"dendro",4,70
100,"plot.census",18.5,87.5
0,"dendro",6,30
0,"dendro",6,30
0,"dendro",6,30
0,"dendro",6,30
0,"dendro",6,30
0,"dendro",6,30
0,"dendro",6,30
0,"dendro",6,30
0,"plot.census",6,30
0,"plot.census",6,30
0,"plot.census",6,30
0,"plot.census",6,30
0,"plot.census",6,30
0,"plot.census",6,30
0,"plot.census",6,30
0,"plot.census",6,30
0,"dendro",8.5,30
0,"dendro",8.5,30
0,"dendro",8.5,30
0,"dendro",8.5,30
0,"dendro",8.5,30
0,"dendro",8.5,30
0,"dendro",8.5,30
0,"dendro",8.5,30
0,"plot.census",8.5,30
0,"plot.census",8.5,30
0,"plot.census",8.5,30
0,"plot.census",8.5,30
0,"plot.census",8.5,30
0,"plot.census",8.5,30
0,"plot.census",8.5,30
0,"plot.census",8.5,30
30,"dendro",6,50
30,"dendro",6,50
30,"dendro",6,50
30,"dendro",6,50
30,"dendro",6,50
30,"dendro",6,50
30,"dendro",6,50
30,"dendro",6,50
30,"plot.census",6,50
30,"plot.census",6,50
30,"plot.census",6,50
30,"plot.census",6,50
30,"plot.census",6,50
30,"plot.census",6,50
30,"plot.census",6,50
30,"plot.census",6,50
30,"dendro",8.5,50
30,"dendro",8.5,50
30,"dendro",8.5,50
30,"dendro",8.5,50
30,"dendro",8.5,50
30,"dendro",8.5,50
30,"dendro",8.5,50
30,"dendro",8.5,50
30,"plot.census",8.5,50
30,"plot.census",8.5,50
30,"plot.census",8.5,50
30,"plot.census",8.5,50
30,"plot.census",8.5,50
30,"plot.census",8.5,50
30,"plot.census",8.5,50
30,"plot.census",8.5,50
0,"plot.census",8.5,70
0,"dendro",4,30
0,"dendro",2,30
0,"plot.census",8.5,50
60,"dendro",4,70
0,"plot.census",8.5,70
80,"dendro",2,30
60,"plot.census",8.5,87.5
80,"dendro",2,70
50,"dendro",2,30
100,"dendro",5,70
100,"dendro",4,50
100,"dendro",2,10
10,"dendro",4,70
0,"dendro",9,87.5
0,"dendro",9,87.5
0,"dendro",9,87.5
0,"dendro",9,87.5
0,"dendro",9,87.5
0,"dendro",9,87.5
0,"dendro",9,87.5
0,"dendro",9,87.5
0,"plot.census",9,87.5
0,"plot.census",9,87.5
0,"plot.census",9,87.5
0,"plot.census",9,87.5
0,"plot.census",9,87.5
0,"plot.census",9,87.5
0,"plot.census",9,87.5
0,"plot.census",9,87.5
0,"dendro",8.5,87.5
0,"dendro",8.5,87.5
0,"dendro",8.5,87.5
0,"dendro",8.5,87.5
0,"dendro",8.5,87.5
0,"dendro",8.5,87.5
0,"dendro",8.5,87.5
0,"dendro",8.5,87.5
0,"plot.census",8.5,87.5
0,"plot.census",8.5,87.5
0,"plot.census",8.5,87.5
0,"plot.census",8.5,87.5
0,"plot.census",8.5,87.5
0,"plot.census",8.5,87.5
0,"plot.census",8.5,87.5
0,"plot.census",8.5,87.5
20,"plot.census",8.5,87.5
80,"dendro",2,30
0,"plot.census",8.5,87.5
0,"plot.census",13.5,50
0,"plot.census",8.5,87.5
0,"dendro",5,87.5
60,"plot.census",8.5,87.5
90,"dendro",3,50
60,"dendro",2,50
100,"dendro",2,30
40,"plot.census",13.5,87.5
0,"plot.census",8.5,70
50,"plot.census",8.5,50
50,"plot.census",8.5,50
50,"plot.census",8.5,50
50,"plot.census",8.5,50
50,"plot.census",8.5,50
50,"plot.census",8.5,50
50,"plot.census",8.5,50
50,"plot.census",8.5,50
50,"dendro",8.5,50
50,"dendro",8.5,50
50,"dendro",8.5,50
50,"dendro",8.5,50
50,"dendro",8.5,50
50,"dendro",8.5,50
50,"dendro",8.5,50
50,"dendro",8.5,50
50,"plot.census",7,50
50,"plot.census",7,50
50,"plot.census",7,50
50,"plot.census",7,50
50,"plot.census",7,50
50,"plot.census",7,50
50,"plot.census",7,50
50,"plot.census",7,50
50,"dendro",7,50
50,"dendro",7,50
50,"dendro",7,50
50,"dendro",7,50
50,"dendro",7,50
50,"dendro",7,50
50,"dendro",7,50
50,"dendro",7,50
0,"dendro",8,87.5
0,"dendro",8,87.5
0,"plot.census",8,87.5
0,"plot.census",8,87.5
0,"dendro",6,30
0,"dendro",6,30
0,"plot.census",6,30
0,"plot.census",6,30
30,"dendro",6,50
30,"dendro",6,50
30,"plot.census",6,50
30,"plot.census",6,50
0,"dendro",9,87.5
0,"dendro",9,87.5
0,"plot.census",9,87.5
0,"plot.census",9,87.5
50,"plot.census",7,50
50,"plot.census",7,50
50,"dendro",7,50
50,"dendro",7,50
