"percentage_suspended","volume_remaining"
100,50
90,12.5
90,30
70,12.5
30,12.5
30,12.5
30,12.5
30,12.5
30,12.5
30,12.5
30,12.5
30,12.5
30,12.5
30,12.5
30,12.5
30,12.5
30,12.5
30,12.5
30,12.5
30,12.5
0,12.5
0,12.5
0,12.5
10,12.5
0,12.5
0,12.5
0,30
100,30
100,30
100,30
100,30
100,30
100,30
100,30
100,30
100,30
100,30
100,30
100,30
100,30
100,30
100,30
100,30
100,30
90,50
80,50
40,30
10,12.5
40,12.5
70,30
80,30
70,30
10,30
90,50
0,12.5
90,50
40,50
80,70
0,12.5
10,70
0,12.5
10,12.5
0,12.5
80,70
0,12.5
40,12.5
0,30
100,NA
10,12.5
70,70
0,12.5
0,12.5
50,70
100,12.5
90,70
0,12.5
60,30
30,50
10,12.5
50,50
100,50
100,12.5
100,12.5
90,50
90,50
0,50
0,30
100,12.5
0,50
90,12.5
30,70
70,70
70,90
10,50
100,12.5
90,30
60,50
10,50
100,12.5
100,12.5
100,12.5
90,50
20,12.5
20,50
90,30
100,12.5
70,50
70,50
70,50
70,50
70,50
70,50
70,50
70,50
70,50
70,50
70,50
70,50
70,50
70,50
70,50
70,50
30,70
80,70
100,70
40,12.5
10,12.5
90,12.5
40,30
0,12.5
100,90
90,70
0,50
60,90
50,70
80,70
10,50
30,50
80,90
10,70
0,30
80,12.5
100,12.5
90,50
90,50
80,50
10,50
0,12.5
0,50
90,50
90,50
90,50
90,50
90,50
90,50
90,50
90,50
90,50
90,50
90,50
90,50
90,50
90,50
90,50
90,50
0,12.5
90,30
0,30
100,90
40,70
30,70
30,50
100,50
50,70
0,12.5
60,70
0,70
90,50
90,90
100,90
50,12.5
40,70
30,12.5
50,90
50,50
0,90
70,12.5
70,50
90,90
80,70
60,70
0,50
0,12.5
90,70
0,30
30,70
50,70
100,30
40,70
0,12.5
40,70
0,12.5
0,70
40,50
50,70
100,50
0,12.5
100,90
0,12.5
90,30
0,12.5
0,12.5
50,70
90,30
0,50
90,50
30,70
30,70
30,70
30,70
30,70
30,70
30,70
30,70
30,70
30,70
30,70
30,70
30,70
30,70
30,70
30,70
0,50
80,12.5
100,12.5
10,50
0,70
0,12.5
40,50
100,12.5
20,50
90,12.5
30,50
30,50
30,50
30,50
30,50
30,50
30,50
30,50
30,50
30,50
30,50
30,50
30,50
30,50
30,50
30,50
90,30
0,30
60,70
0,30
50,50
100,12.5
100,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
20,70
50,70
100,12.5
10,12.5
10,50
100,12.5
60,12.5
0,12.5
0,12.5
60,70
10,50
40,50
100,70
40,70
0,12.5
70,12.5
0,50
100,12.5
0,30
0,12.5
10,30
90,90
10,30
10,30
20,70
90,12.5
0,12.5
90,30
100,12.5
90,30
80,30
40,70
0,30
20,12.5
70,12.5
60,50
0,30
30,50
40,30
10,30
10,12.5
30,30
0,30
0,30
30,12.5
20,30
0,50
80,70
0,12.5
50,30
50,30
50,30
50,30
50,30
50,30
50,30
50,30
50,30
50,30
50,30
50,30
50,30
50,30
50,30
50,30
0,30
0,50
0,12.5
0,30
80,12.5
90,70
40,70
70,50
70,50
70,50
70,50
70,50
70,50
70,50
70,50
80,12.5
70,50
90,70
0,30
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
60,12.5
50,50
0,30
0,50
60,70
10,30
80,50
0,30
0,30
0,30
0,30
0,30
0,30
0,30
0,30
0,30
0,30
0,30
0,30
0,30
0,30
0,30
0,30
10,30
60,70
90,50
30,50
30,50
30,50
30,50
30,50
30,50
30,50
30,50
30,50
30,50
30,50
30,50
30,50
30,50
30,50
30,50
40,30
40,30
40,30
40,30
40,30
40,30
40,30
40,30
40,30
40,30
40,30
40,30
40,30
40,30
40,30
40,30
70,70
0,12.5
0,30
10,50
80,50
60,50
30,50
0,12.5
0,30
90,70
40,50
0,12.5
100,30
30,50
70,50
70,70
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
40,12.5
40,12.5
40,12.5
40,12.5
40,12.5
40,12.5
40,12.5
40,12.5
40,12.5
40,12.5
40,12.5
40,12.5
40,12.5
40,12.5
40,12.5
40,12.5
70,12.5
100,12.5
70,12.5
70,12.5
70,12.5
70,12.5
70,12.5
70,12.5
70,12.5
70,12.5
70,12.5
70,12.5
70,12.5
70,12.5
70,12.5
70,12.5
70,12.5
70,12.5
0,50
0,50
0,12.5
80,70
40,50
60,12.5
60,12.5
60,12.5
60,12.5
60,12.5
60,12.5
60,12.5
60,12.5
60,12.5
60,12.5
60,12.5
60,12.5
60,12.5
60,12.5
60,12.5
60,12.5
40,50
80,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
30,70
10,50
30,30
80,50
20,50
50,70
50,70
50,70
50,70
50,70
50,70
50,70
50,70
50,70
50,70
50,70
50,70
50,70
50,70
50,70
50,70
20,12.5
20,12.5
20,12.5
20,12.5
20,12.5
20,12.5
20,12.5
20,12.5
20,12.5
20,12.5
20,12.5
20,12.5
20,12.5
20,12.5
20,12.5
20,12.5
50,70
10,50
100,70
0,12.5
40,30
0,30
0,12.5
0,70
0,12.5
90,12.5
10,50
20,50
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
80,70
0,50
10,50
0,12.5
100,12.5
20,30
30,50
70,70
0,50
60,50
100,12.5
40,50
100,90
100,90
100,90
100,90
100,90
100,90
100,90
100,90
100,90
100,90
100,90
100,90
100,90
100,90
100,90
100,90
100,90
10,12.5
100,12.5
60,30
100,30
0,12.5
100,12.5
70,30
0,12.5
0,30
40,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
100,12.5
0,12.5
0,12.5
10,70
0,70
100,70
90,50
80,70
90,70
10,12.5
10,12.5
10,12.5
10,12.5
10,12.5
10,12.5
10,12.5
10,12.5
10,12.5
10,12.5
10,12.5
10,12.5
10,12.5
10,12.5
10,12.5
10,12.5
0,12.5
40,50
60,30
30,90
0,70
0,70
0,70
0,70
0,70
0,70
0,70
0,70
0,70
0,70
0,70
0,70
0,70
0,70
0,70
0,70
30,50
30,50
30,50
30,50
30,50
30,50
30,50
30,50
30,50
30,50
30,50
30,50
30,50
30,50
30,50
30,50
0,70
40,70
40,70
40,70
40,70
40,70
40,70
40,70
40,70
40,70
40,70
40,70
40,70
40,70
40,70
40,70
40,70
0,70
80,70
80,70
80,70
80,70
80,70
80,70
80,70
80,70
80,70
0,50
40,50
40,50
0,50
0,30
80,30
0,30
30,50
90,70
90,70
90,70
90,70
90,70
90,70
90,70
90,70
90,70
90,70
90,70
90,70
90,70
90,70
90,70
90,70
20,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
40,70
30,50
90,12.5
100,30
30,30
30,12.5
0,30
40,50
100,12.5
30,12.5
0,12.5
0,12.5
70,50
90,70
0,70
100,12.5
60,90
70,50
60,50
100,12.5
0,30
50,50
100,70
100,50
30,50
100,12.5
40,50
100,50
20,70
100,50
100,50
90,30
100,70
20,30
0,50
40,50
0,30
0,70
80,30
100,90
100,70
10,70
40,12.5
100,70
100,70
50,12.5
40,90
10,50
100,70
100,90
30,30
10,50
0,30
30,12.5
0,50
0,30
20,30
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
100,12.5
80,70
90,70
0,30
0,30
0,70
80,90
40,30
20,70
100,70
100,30
60,30
0,30
80,70
40,30
100,50
100,50
0,50
60,12.5
80,50
90,12.5
10,50
80,30
0,12.5
50,70
0,30
0,30
0,30
0,30
0,30
0,30
0,30
0,30
0,30
0,30
0,30
0,30
0,30
0,30
0,30
0,30
0,50
40,50
30,70
30,30
0,12.5
70,50
20,30
100,12.5
100,12.5
100,12.5
100,12.5
100,12.5
100,12.5
100,12.5
100,12.5
100,12.5
100,12.5
100,12.5
100,12.5
100,12.5
100,12.5
100,12.5
100,12.5
20,90
10,30
10,30
100,90
100,90
0,70
100,30
100,50
50,30
100,12.5
0,50
10,30
100,50
0,50
10,90
60,50
70,50
40,50
100,70
20,90
50,30
100,12.5
40,30
10,30
0,30
100,90
0,30
30,12.5
50,50
100,12.5
10,30
40,70
40,70
40,70
40,70
40,70
40,70
40,70
40,70
40,70
40,70
40,70
40,70
40,70
40,70
40,70
40,70
80,30
0,12.5
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,50
0,12.5
10,30
100,30
30,30
50,50
50,30
40,30
60,50
0,90
0,30
0,12.5
100,70
0,30
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
0,12.5
20,12.5
100,30
80,90
40,70
0,12.5
40,50
90,12.5
90,12.5
90,12.5
90,12.5
90,12.5
90,12.5
90,12.5
90,12.5
90,12.5
90,12.5
90,12.5
90,12.5
90,12.5
90,12.5
90,12.5
90,12.5
60,70
50,12.5
80,50
80,70
60,70
30,30
0,12.5
100,12.5
100,12.5
100,50
20,30
10,30
0,50
0,12.5
40,50
0,12.5
0,12.5
100,50
70,50
40,70
100,12.5
100,12.5
0,12.5
40,50
100,12.5
100,12.5
100,12.5
100,12.5
100,12.5
100,12.5
100,12.5
100,12.5
100,12.5
100,12.5
100,12.5
100,12.5
100,12.5
100,12.5
100,12.5
100,12.5
30,30
60,50
60,12.5
100,70
100,70
100,12.5
100,50
0,50
0,50
80,30
100,30
100,12.5
100,30
80,50
70,30
0,30
100,12.5
90,50
0,12.5
0,30
40,50
10,70
50,50
100,30
0,12.5
0,50
30,30
10,70
0,12.5
100,12.5
90,70
30,30
60,50
50,70
0,50
20,12.5
100,12.5
0,12.5
0,12.5
100,70
0,70
100,50
30,30
100,30
0,30
0,30
20,30
100,30
0,12.5
0,12.5
0,12.5
100,90
0,30
0,12.5
0,12.5
90,90
0,30
100,50
40,12.5
80,70
100,30
100,12.5
0,12.5
100,30
100,12.5
50,90
0,30
20,12.5
100,70
100,12.5
60,50
30,70
70,12.5
70,12.5
70,12.5
70,12.5
70,12.5
70,12.5
70,12.5
70,12.5
70,12.5
70,12.5
70,12.5
70,12.5
70,12.5
70,12.5
70,12.5
70,12.5
10,30
0,90
10,50
20,50
0,70
60,90
100,30
0,30
30,12.5
30,12.5
30,12.5
30,12.5
30,12.5
30,12.5
30,12.5
30,12.5
30,12.5
30,12.5
30,12.5
30,12.5
30,12.5
30,12.5
30,12.5
30,12.5
60,90
100,90
10,70
100,30
20,50
70,90
90,50
10,30
100,12.5
40,12.5
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
100,90
90,70
0,12.5
70,12.5
20,12.5
40,30
100,12.5
